Вид деятельности	Название объединения	Название группы	Категория программы	Возрастная группа обучающихся (лет)	ФИО Педагога	Бесплатное ли обучение	Срок обучения	Форма занятия
Математические задачи повышенной сложности	Практикум по математике 2022-2023 5К (Гарифулина Т.Ю. - Барклая 15-3) (бюджет)	Практикум по математике 2022-2023 5К (Гарифулина Т.Ю. - Барклая 15-3) (бюджет)	Ознакомительный	10 - 12		Да		Групповая
Математические задачи повышенной сложности	Математика на 5+ 2022-2023 2Ж (Сушилина Е.С. - Б.Филевская д.15) (платно)	Математика на 5+ 2022-2023 2Ж (Сушилина Е.С. - Б.Филевская д.15) (платно)	Ознакомительный	7 - 8		Нет		Групповая
Математические задачи повышенной сложности	Математический калейдоскоп 2022-2023 3В (Чесалина Т.Н. - Филевский б-р 3-2) (бюджет)	Математический калейдоскоп 2022-2023 3В (Чесалина Т.Н. - Филевский б-р 3-2) (бюджет)	Ознакомительный	8 - 11		Да		Групповая
Математические задачи повышенной сложности	Практикум по решению задач-10 2022-2023 10К, 10Т, 11Т (Рашпелева ЕВ - Б.Филевская д.15) (бюджет)	Практикум по решению задач-10 2022-2023 10Т (Рашпелева ЕВ - Б.Филевская д.15) (бюджет)	Ознакомительный	15 - 17		Да		Групповая
Математические задачи повышенной сложности	Математическая мозаика 2022-2023 3М (Крюкова Т.Н. - Барклая д.15 к.3) (бюджет)	Математическая мозаика 2022-2023 3М (Крюкова Т.Н. - Барклая д.15 к.3) (бюджет)	Ознакомительный	8 - 11		Да		Групповая
Математические задачи повышенной сложности	"Я люблю математику" 2022-2023 1Г (Катровская Т.В. - Филёвский б-р д.3 к.2) (бюджет)	"Я люблю математику" 2022-2023 1Г (Катровская Т.В. - Филёвский б-р д.3 к.2) (бюджет)	Ознакомительный	6 - 8		Да		Групповая
Математические задачи повышенной сложности	Путешествие в страну математики 2022-2023 9 (база страта) (Бондаренко О.Н. - Филевский б-р 13-2) (бюджет)	Путешествие в страну математики 2022-2023 9 (база страта) (Бондаренко О.Н. - Филевский б-р 13-2) (бюджет)	Ознакомительный	14 - 16		Да		Групповая
Математические задачи повышенной сложности	Путешествие в страну математики 2022-2023 11а (Бондаренко О.Н. - Филевский б-р 13-2) (бюджет)	Путешествие в страну математики 2022-2023 11а (Бондаренко О.Н. - Филевский б-р 13-2) (бюджет)	Ознакомительный	16 - 18		Да		Групповая
Математические задачи повышенной сложности	Математическая вертикаль-7 2022-2023 7Б (Бондаренко О.Н. - Филёвский б-р д.13 к.2) (бюджет)	Математическая вертикаль-7 2022-2023 7Б (Бондаренко О.Н. - Филёвский б-р д.13 к.2) (бюджет)	Ознакомительный	12 - 14		Да		Групповая
Математические задачи повышенной сложности	Юные математики 2022-2023 3Б (Алакпарова Т.Н. - Филевский б-р 3-2) (бюджет)	Юные математики 2022-2023 3Б (Алакпарова Т.Н. - Филевский б-р 3-2) (бюджет)	Ознакомительный	8 - 10		Да		Групповая
Математические задачи повышенной сложности	Математическая вертикаль-8 2022-2023 8Е (Лихачева М.В. - Б.Филевская, 15) (бюджет)	Математическая вертикаль-8 2022-2023 8Е (Лихачева М.В. - Б.Филевская, 15) (бюджет)	Ознакомительный	13 - 15		Да		Групповая
Математические задачи повышенной сложности	Практикум по математике-7 2022-2023 7З (Гарифулина Т.Ю. - Барклая д. 15 к.3) (бюджет)	Практикум по математике-7 2022-2023 7З (Гарифулина Т.Ю. - Барклая д. 15 к.3) (бюджет) Гарифулина ТЮ	Ознакомительный	12 - 13		Да		Групповая
Математические задачи повышенной сложности	В мире математики 2022-2023 1О (Евланова Н.В. - Новозаводская д.19) (бюджет)	В мире математики 2022-2023 1О (Евланова Н.В. - Новозаводская д.19) (бюджет)	Ознакомительный	6 - 11		Да		Групповая
Кино-видеотехника	Искусство через объектив 2022-2023 1-4 класс, 5З,6з (Попов ФП - Б.Филевская 15) (бюджет)	Искусство через объектив 2022-2023 5З,6з (Попов ФП - Б.Филевская 15) (бюджет)	Ознакомительный	6 - 13		Да		Групповая
Математические задачи повышенной сложности	Знайка 2022-2023 2Н (Носова КВ - Новозаводская д.19) (бюджет)	Знайка 2022-2023 2Н (Носова КВ - Новозаводская д.19) (бюджет)	Ознакомительный	7 - 11		Да		Групповая
Математические задачи повышенной сложности	Интересная математика 2022-2023 3Н (Одинцова ИЕ - Барклая д.15 к.3) (бюджет)	Интересная математика 2022-2023 3Н (Одинцова И - Барклая д.15 к.3) (бюджет)	Ознакомительный	8 - 11		Да		Групповая
Математические задачи повышенной сложности	Заниматика 2022-2023 3И (Подлеснова ТВ- Барклая 15-3) (бюджет)	Заниматика 2022-2023 3И (Подлеснова ТВ- Барклая 15-3) (бюджет)	Ознакомительный	8 - 11		Да		Групповая
Математические задачи повышенной сложности	Решение задач по математике повышенной сложности-6 2022-2023 6Л (Ильина Т.А. - Барклая 15-3) (бюджет)	Решение задач по математике повышенной сложности-6 2022-2023 6Л (Ильина Т.А. - Барклая 15-3) (бюджет)	Ознакомительный	11 - 13		Да		Групповая
Кулинария	Готовим сами 2022-2023 5-8 класс (Святова О.А. - Б.Филевская д.15) (бюджет)	Готовим сами 2022-2023 5-8 класс (Святова О.А. - Б.Филевская д.15) (бюджет)	Ознакомительный	10 - 15		Да		Групповая
Кино-видеотехника	Юный мультипликатор 2022-2023 1-5 класс(Симонов ДА- Большая Ф. 15) (платно)	Юный мультипликатор 2022-2023 1-5 класс(Симонов ДА- Филевскийб-р 3 к2) (платно)	Ознакомительный	6 - 11		Нет		Групповая
Технические устройства, приборы и механизмы	Юный техник 2022-2023 2-6 класс (Пензин СА - Новозаводская,19) (бюджет)	2-3 кл Юный техник 2022-2023 2-4 класс (Пензин СА - Новозаводская,19) (бюджет)	Ознакомительный	7 - 12		Да		Групповая
Математические задачи повышенной сложности	На просторах математики 2022-2023 4 классы (Кушунина А.И. - Филевский б-р 3-2) (платно)	На просторах математики 2022-2023 4 классы (Кушунина А.И. - Филевский б-р 3-2) (платно)	Ознакомительный	9 - 10		Нет		Групповая
Математические задачи повышенной сложности	Мат.вертикаль 2022-2023 8Б (Лепилина НА - Филевский б-р 13-2) (бюджет)	Мат.вертикаль 2022-2023 8Б (Лепилина НА - Филевский б-р 13-2) (бюджет)	Ознакомительный	13 - 15		Да		Групповая
