Вид деятельности	Название объединения	Название группы	Категория программы	Возрастная группа обучающихся (лет)	ФИО Педагога	Бесплатное ли обучение	Срок обучения	Форма занятия
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 3Е (Сухомлина Е.В. - Б.Филевская д.15) (платно)	Учусь учиться 2022-2023 3Е (Сухомлина Е.В. - Б.Филевская д.15) (платно)	Ознакомительный	8 - 9		Нет		Групповая
Общая экология	Юный эколог 2022-2023 1-4 класс (Подлеснова ТВ- Барклая 15-3) (бюджет)	Юный эколог 2022-2023 1-4 класс (Подлеснова ТВ- Барклая 15-3) (бюджет) №2	Ознакомительный	6 - 11		Да		Групповая
Общая экология	Юный эколог 2022-2023 1-4 класс (Подлеснова ТВ- Барклая 15-3) (бюджет)	Юный эколог 2022-2023 1-4 класс (Подлеснова ТВ- Барклая 15-3) (бюджет) №1	Ознакомительный	6 - 11		Да		Групповая
Предметная область физики	Мир физических явлений 2022-2023 10Т,11Т (Сидорова А.А. - Б.Филевская,15) (бюджет)	Мир физических явлений 2022-2023 11Т (Сидорова А.А. - Б.Филевская,15) (бюджет)	Ознакомительный	15 - 17		Да		Групповая
Основы микробиологии, генетика и селекция	Юный микробиолог 2022-2023 6-7 класс (Зырянова ЯА - Филевский б-р 13-2) (бюджет)	Юный микробиолог 2022-2023 6-7 класс (Зырянова ЯА - Филевский б-р 13-2) (бюджет)	Ознакомительный	11 - 14		Да		Групповая
Предметная область математики	Юные Лобачевские 2022-2023 (Алексеева Г.В., Буданова В.Н. - Филевский б-р 8-2) (сад)	Юные Лобачевские 2022-2023 (Алексеева Г.В., Буданова В.Н. - Филевский б-р 8-2) (сад)	Ознакомительный	5 - 6		Да		Групповая
Предметная область математики	Чудеса математической страны 2022-2023 (Азизова О.Ю. - Филевский бульвар 17А) (сад)	Чудеса математической страны 2022-2023 (Азизова О.Ю. - Филевский бульвар 17А) (сад)	Ознакомительный	5 - 7		Да		Групповая
Проектная и исследовательская деятельность	Мои достижения. Функциональная грамотность 2022-2023 4А (Паземова А.Ю. - Филевский б-р 3-2) (платно)	Мои достижения. Функциональная грамотность 2022-2023 4А (Паземова А.Ю. - Филевский б-р 3-2) (платно)	Ознакомительный	9 - 10		Нет		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 4М (Федорова Г.А. - Новозаводская д.19) (платно)	Учусь учиться 2022-2023 4М (Федорова Г.А. - Новозаводская д.19) (платно)	Ознакомительный	9 - 10		Нет		Групповая
Предметная область природоведения	Азбука правильного питания 2022-2023 (Румянцева Н.В. Кавешникова Е.П. - Филевский б-р 23-2) (сад)	Азбука правильного питания 2022-2023 (Румянцева Н.В. Кавешникова Е.П. - Филевский б-р 23-2) (сад)	Ознакомительный	5 - 6		Да		Групповая
Предметная область географии	Вокруг света 2022-2023 5-6 класс (Черезова И.А. - Филёвский б-р д.13 к.2) (бюджет)	Вокруг света 2022-2023 5-6 класс (Черезова И.А. - Филёвский б-р д.13 к.2) (бюджет)	Ознакомительный	10 - 12		Да		Групповая
Общая экология	Юный эколог 2022-2023 1-4 класс (Кривошеева СС - Филевский б 3-2) (бюджет)	Юный эколог 2022-2023 1-4 класс (Кривошеева СС - Филевский б 3-2) (бюджет)	Ознакомительный	6 - 11		Да		Групповая
Проектная и исследовательская деятельность	Хочу все знать! 2022-2023 (Бережных Г.Н., Мамрукова С.Б. - Физкультурный пр-д 8) (сад)	Хочу все знать! 2022-2023 (Бережных Г.Н., Мамрукова С.Б. - Физкультурный пр-д 8) (сад)	Ознакомительный	5 - 7		Да		Групповая
Предметная область математики	Маленький гений 2022-2023 (Шекян А.Н Шаталина М.Н. - Филевский б-р 23-2) (сад)	Маленький гений 2022-2023 (Шекян А.Н Шаталина М.Н. - Филевский б-р 23-2) (сад)	Ознакомительный	5 - 6		Да		Групповая
Предметная область математики	Математика для малышей 2022-2023 (Маликова И.А. - Филевский бульвар 17А) (платно)	Математика для малышей 2022-2023 (Маликова И.А. - Филевский бульвар 17А) (платно)	Ознакомительный	4 - 5		Нет		Групповая
Основы микробиологии, генетика и селекция	Юный генетик 2022-2023 5 класс (Зырянова ЯА - Филевский б-р 13-2) (бюджет)	Юный генетик 2022-2023 5 класс (Зырянова ЯА - Филевский б-р 13-2) (бюджет)	Ознакомительный	10 - 12		Да		Групповая
Предметная область математики	Пифагоры 2022-2023 (Журкина О.Н., Штанько А.Е. - Тучковская 5) (сад)	Пифагоры 2022-2023 (Журкина О.Н., Штанько А.Е. - Тучковская 5) (сад)	Ознакомительный	5 - 7		Да		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 2Е (Сапожникова А.С. - Б.Филевская д.15) (платно)	Учусь учиться 2022-2023 2Е (Шигапова АС(Сапожникова А.С.) - Б.Филевская д.15) (платно)	Ознакомительный	7 - 10		Нет		Групповая
Предметная область химии	Юный химик 2022-2023 7Д (Мещерякова Е.С. - Б.Филевская д.15) (бюджет)	Юный химик 2022-2023 7Д (Мещерякова Е.С. - Б.Филевская д.15) (бюджет)	Ознакомительный	12 - 14		Да		Групповая
Физиология и анатомия	Первая медицинская помощь 2022-2023 8-9 класс (Корягина ОМ - Б.Филевская 15) (бюджет)	Первая медицинская помощь 2022-2023 8-9 класс (Корягина ОМ - Б.Филевская 15) (бюджет)	Ознакомительный	13 - 16		Да		Групповая
Предметная область математики	Занимательная математика 2022-2023 (Климова В.А. - - Береговой пр-д 1Б) (сад)	Занимательная математика 2022-2023 (Климова В.А. - Береговой пр-д 1Б) (сад)	Ознакомительный	5 - 7		Да		Групповая
Предметная область математики	Математический калейдоскоп 2022-2023 (Лобанова Н.И. - Физкультурный пр-д 8) (сад)	Математический калейдоскоп 2022-2023 (Лобанова Н.И. - Физкультурный пр-д 8)	Ознакомительный	5 - 7		Да		Групповая
Предметная область географии	Молодежный клуб Русского географического общества 2022-2023 9-10 класс (Черезова И.А. - Филёвский б-р д.13 к.2) (бюджет)	Молодежный клуб Русского географического общества 2022-2023 9-10 класс (Черезова И.А. - Филёвский б-р д.13 к.2) (бюджет)	Ознакомительный	13 - 17		Да		Групповая
Предметная область математики	Математические ступеньки 2022-2023 (Чижова А.Б, Броварник Н.А. - Физкультурный пр-д 8) (сад)	Математические ступеньки 2022-2023 (Чижова А.Б, Броварник Н.А. - Физкультурный пр-д 8) (сад)	Ознакомительный	5 - 6		Да		Групповая
Предметная область математики	Математические ступеньки 2022-2023 (Вахрамеева ЕБ, Савченко И.В. - Барклая 5-5) (сад)	Математические ступеньки 2022-2023 (Вахрамеева ЕБ, Савченко И.В. - Барклая 5-5) (сад)	Ознакомительный	5 - 6		Да		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 4З (Бурдюгова А.С. - Б.Филевская д.15) (платно)	Учусь учиться 2022-2023 4З (Бурдюгова А.С. - Б.Филевская д.15) (платно)	Ознакомительный	9 - 10		Нет		Групповая
Проектная и исследовательская деятельность	Мои достижения. Функциональная грамотность. 2022-2023 4Г (Журавлева Я.А.- Филевский б-р 3-2) (платно)	Мои достижения. Функциональная грамотность. 2022-2023 4Г (Журавлева Я.А.- Филевский б-р 3-2) (платно)	Ознакомительный	9 - 11		Нет		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 3Ж (Стариченко ДИ - Б.Филевская д.15) (платно)	Учусь учиться 2022-2023 3Ж (Стариченко ДИ - Б.Филевская д.15) (платно)	Ознакомительный	8 - 9		Нет		Групповая
Проектная и исследовательская деятельность	Мои достижения. Функциональная грамотность. 2022-2023 4В (Васильева Н.Н.- Филевский б-р 3-2) (платно)	Мои достижения. Функциональная грамотность. 2022-2023 4В (Васильева Н.Н.- Филевский б-р 3-2) (платно)	Ознакомительный	9 - 11		Нет		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 3П (Шаруева Э.С. - Новозаводская д.19) (платно)	Учусь учиться 2022-2023 3П (Шаруева Э.С. - Новозаводская д.19) (платно)	Ознакомительный	7 - 9		Нет		Групповая
Предметная область природоведения	Начальная биология 2022-2023 (Пантюхина Л.В., Каретникова Г.В. - Тучковская 5) (сад)	Начальная биология 2022-2023 (Пантюхина Л.В., Каретникова Г.В. - Тучковская 5) (сад)	Ознакомительный	5 - 6		Да		Групповая
Физиология и анатомия	Мир внутри нас 2022-2023 (Ковалева А.Н. - Филевский б-р 1-2) (сад)	Мир внутри нас 2022-2023 (Ковалева А.Н. - Филевский б-р 1-2) (сад)	Ознакомительный	5 - 7		Да		Групповая
