Вид деятельности	Название объединения	Название группы	Категория программы	Возрастная группа обучающихся (лет)	ФИО Педагога	Бесплатное ли обучение	Срок обучения	Форма занятия
Профориентация	Я выбираю профессию 2022-2023 8-11 класс (Филёвский б-р д.13 к.2) (бюджет)	Я выбираю профессию 2022-2023 8-11 класс (Филёвский б-р д.13 к.2) (бюджет) 10б Истляева Н.В	Ознакомительный	13 - 18		Да		Групповая
Интеллектуальные игры	Логика 2022-2023 1-4 класс (Барклая 15-3) (бюджет)	Логика 2022-2023 1-4 класс (Барклая 15-3) (бюджет) 4л Петрухина НА	Ознакомительный	6 - 11		Да		Групповая
Интеллектуальные игры	Логика 2022-2023 1-4 класс (Филёвский б-р д.3 к.2) (бюджет)	Логика 2022-2023 1-4 класс (Филёвский б-р д.3 к.2) (бюджет) 4а Паземова АЮ	Ознакомительный	6 - 12		Да		Групповая
Интеллектуальные игры	Логика 2022-2023 1-4 класс (Барклая 15-3) (бюджет)	Логика 2022-2023 1-4 класс (Барклая 15-3) (бюджет) 3н Одинцова ИЕ	Ознакомительный	6 - 11		Да		Групповая
Интеллектуальные игры	Логика 2022-2023 1-4 класс (Филёвский б-р д.3 к.2) (бюджет)	Логика 2022-2023 1-4 класс (Филёвский б-р д.3 к.2) (бюджет) 2р Жежель ЛЗ	Ознакомительный	6 - 12		Да		Групповая
Интеллектуальные игры	Логика 2022-2023 1-4 класс (Филёвский б-р д.3 к.2) (бюджет)	Логика 2022-2023 1-4 класс (Филёвский б-р д.3 к.2) (бюджет) 1г Катровская ТВ	Ознакомительный	6 - 12		Да		Групповая
Интеллектуальные игры	Логика 2022-2023 1-4 класс (Барклая 15-3) (бюджет)	Логика 2022-2023 1-4 класс (Барклая 15-3) (бюджет) 4и Селезнева ИВ	Ознакомительный	6 - 11		Да		Групповая
Интеллектуальные игры	Логика 2022-2023 1-4 класс (Барклая 15-3) (бюджет)	Логика 2022-2023 1-4 класс (Барклая 15-3) (бюджет) 3и Подлеснова ТВ	Ознакомительный	6 - 11		Да		Групповая
Интеллектуальные игры	Логика 2022-2023 1-4 класс (Барклая 15-3) (бюджет)	Логика 2022-2023 1-4 класс (Барклая 15-3) (бюджет) Арутюнян МР 2Л	Ознакомительный	6 - 11		Да		Групповая
Русский язык и культура речи	Говорим правильно (школьный уровень)- индивидуальные занятия 2022-2023 1-4 класс (Сычева Г.Е. - Большая Филевская 15) (платно)	Говорим правильно (школьный уровень)- индивидуальные занятия 2022-2023 1-4 класс (Сычева Г.Е. - Большая Филевская 15) (платно) №1	Ознакомительный	6 - 10		Нет		Индивидуальная
Русский язык и культура речи	Глубины русского языка 2022-2023 4 классы (Жукова С.И. - Б.Филевская 15) (платно)	Глубины русского языка 2022-2023 4 классы (Жукова С.И. - Б.Филевская 15) (платно)	Ознакомительный	9 - 10		Нет		Групповая
Русский язык и культура речи	Чтение с увлечением 2022-2023 (Завялова Л.Л. - Филевский б-р 8-2) (платно)	Русский язык и культура речи , Чтение с увлечением 2022-2023 (Завялова Л.Л. - Филевский б-р 8-2) (платно)	Ознакомительный	5 - 7		Нет		Групповая
Интеллектуальное развитие	Волшебные пальчики 2022-2023 (Юрова ИС - Филевский б-р 17А) (платно)	Волшебные пальчики 2022-2023 (Юрова ИС - Филевский б-р 17А) (платно)	Ознакомительный	3 - 5		Нет		Групповая
Интеллектуальные игры	Логика 2022-2023 1-4 класс (Новозаводская,19) (бюджет)	Логика 2022-2023 1-4 класс (Новозаводская,19) (бюджет) 4м Федорова ГА	Ознакомительный	6 - 11		Да		Групповая
Подготовка к школе	Первые шаги к знаниям (подготовка к школе) 2022-2023 БУДНИ (Филевский б-р 3-2) (платно)	Первые шаги к знаниям (подготовка к школе) 2022-2023 БУДНИ (Филевский б-р 3-2) (платно) Паземова АЮ	Ознакомительный	5 - 7		Нет		Групповая
Интеллектуальные игры	Логика 2022-2023 1-4 класс (Новозаводская,19) (бюджет)	Логика 2022-2023 1-4 класс (Новозаводская,19) (бюджет) 3п Шаруева ЭС	Ознакомительный	6 - 11		Да		Групповая
Интеллектуальное развитие	Учимся писать 2022-2023 (Хламова А. С. - Филевский б-р 8-2) (платно)	Учимся писать 2022-2023 (Хламова А. С. - Филевский б-р 8-2) (платно)	Ознакомительный	4 - 6		Нет		Групповая
