Вид деятельности	Название объединения	Название группы	Категория программы	Возрастная группа обучающихся (лет)	ФИО Педагога	Бесплатное ли обучение	Срок обучения	Форма занятия
Художественные и ремонтные работы с изделиями, состоящими из различных материалов	Умелые ручки 2022-2023 1-4 классы (Святова ОА - Филевский б-р 3-2) (бюджет)	№2 2кл Умелые ручки 2022-2023 1-4 классы (Святова ОА - Филевский б-р 3-2) (бюджет)	Ознакомительный	6 - 11		Да		Групповая
Художественные и ремонтные работы с изделиями, состоящими из различных материалов	Умелые ручки 2022-2023 1-4 классы (Святова ОА - Новозаводская 19) (бюджет)	№7 2-5 кл Умелые ручки 2022-2023 1-4 классы (Святова ОА - Новозаводская 19) (бюджет)	Ознакомительный	6 - 11		Да		Групповая
Гитара	Заиграйка (гитара классическая, акустическая) Индивидуальные занятия 2022-2023 2-11 класс (Мешалкина АС - Филевский б-р 3-2) (платно)	Заиграйка (гитара классическая, акустическая) Индивидуальные занятия 2022-2023 2-11 класс (Мешалкина АС - Филевский б-р 3-2) (платно) №3.1	Ознакомительный	7 - 18		Нет		Мини-группы
Академический хор	Хоровое пение 2022-2023 1-4 классы (Святова ОА - Филевский б-р 3-2) (бюджет)	№2 2кл Хоровое пение 2022-2023 1-4 классы (Святова ОА - Филевский б-р 3-2) (бюджет)	Ознакомительный	6 - 11		Да		Групповая
Художественные и ремонтные работы с изделиями, состоящими из различных материалов	Умелые ручки 2022-2023 1-4 классы (Святова ОА - Филевский б-р 3-2) (бюджет)	№3 3-5кл Умелые ручки 2022-2023 1-4 классы (Святова ОА - Филевский б-р 3-2) (бюджет)	Ознакомительный	6 - 11		Да		Групповая
Гитара	Заиграйка (гитара классическая, акустическая) Индивидуальные занятия 2022-2023 2-11 класс (Мешалкина АС - Филевский б-р 3-2) (платно)	Заиграйка (гитара классическая, акустическая) Индивидуальные занятия 2022-2023 2-11 класс (Мешалкина АС - Филевский б-р 3-2) (платно) №5	Ознакомительный	7 - 18		Нет		Мини-группы
Основы театрального и музыкального творчества	Театральная студия "Маскарад" 2022-2023 1-11 класс (Матвеева А.В. - Филёвский б-р д.3 к.2) (бюджет)	Театральная студия "Маскарад" 2022-2023 1-11 класс (Матвеева А.В. - Филёвский б-р д.3 к.2) (бюджет) №11 5-11 кл	Ознакомительный	6 - 18		Да		Групповая
Академический хор	Хоровое пение 2022-2023 1-4 классы (Святова ОА - Филевский б-р 3-2) (бюджет)	№3 3-5кл Хоровое пение 2022-2023 1-4 классы (Святова ОА - Филевский б-р 3-2) (бюджет)	Ознакомительный	6 - 11		Да		Групповая
Основы театрального и музыкального творчества	Театральная студия "Маскарад" 2022-2023 5З, 6З (Матвеева А.В. - Б.Филевская д.15) (бюджет)	Театральная студия "Маскарад" 2022-2023 5З, 6З (Матвеева А.В. - Б.Филевская д.15) (бюджет) №3 5з	Ознакомительный	10 - 13		Да		Групповая
Основы театрального и музыкального творчества	Театральная студия "Маскарад" 2022-2023 5З, 6З (Матвеева А.В. - Б.Филевская д.15) (бюджет)	Театральная студия "Маскарад" 2022-2023 5З, 6З (Матвеева А.В. - Б.Филевская д.15) (бюджет) №4 6з	Ознакомительный	10 - 13		Да		Групповая
Бальный танец	Танцы 2022-2023 5з, 6з (Лыков Р.Ю. - Б.Филевская 15) (бюджет)	Танцы 2022-2023 5з, 6з (Лыков Р.Ю. - Б.Филевская 15) (бюджет)	Ознакомительный	10 - 13		Да		Групповая
Академический хор	Хоровое пение 2022-2023 1-4 классы (Святова О.А. - Б.Филевская 15) (бюджет)	№5 2-4кл Хоровое пение 2022-2023 1-4 классы (Святова О.А. - Б.Филевская 15) (бюджет)	Ознакомительный	6 - 11		Да		Групповая
Академический хор	Хоровое пение 2022-2023 1-4 класс (Святова ОА - Новозаводская 19) (бюджет)	№7 2-5кл Хоровое пение 2022-2023 1-4 класс (Святова ОА - Новозаводская 19) (бюджет)	Ознакомительный	6 - 11		Да		Групповая
Академический хор	Хоровое пение 2022-2023 1-4 класс (Святова ОА - Новозаводская 19) (бюджет)	№6 1кл Хоровое пение 2022-2023 1-4 класс (Святова ОА - Новозаводская 19) (бюджет)	Ознакомительный	6 - 11		Да		Групповая
Основы театрального и музыкального творчества	Театральная студия "Маскарад" 2022-2023 1-11 класс (Матвеева А.В. - Барклая 15-3) (бюджет)	Театральная студия "Маскарад" 2022-2023 1-11 класс (Матвеева А.В. - Барклая 15-3) (бюджет) №7 5-11 кл	Ознакомительный	6 - 18		Да		Групповая
Основы театрального и музыкального творчества	Театральная студия "Маскарад" 2022-2023 1-11 класс (Матвеева А.В. - Б.Филевская д.15) (бюджет)	Театральная студия "Маскарад" 2022-2023 1-11 класс (Матвеева А.В. - Б.Филевская д.15) (бюджет) №5 10к кл	Ознакомительный	6 - 18		Да		Групповая
Основы театрального и музыкального творчества	Театральная студия "Маскарад" 2022-2023 7Г (Матвеева А.В. - Филёвский б-р д.3 к.2) (бюджет)	Театральная студия "Маскарад" 2022-2023 7Г (Матвеева А.В. - Филёвский б-р д.3 к.2) (бюджет) №12 7г	Ознакомительный	12 - 14		Да		Групповая
История изобразительного искусства	Изобразительное творчество. История изобразительного искусства 2022-2023 7Г (Филёвский б-р д.13 к.2) (бюджет)	Изобразительное творчество. История изобразительного искусства 2022-2023 7Г (Филёвский б-р д.13 к.2) (бюджет) Удальцова ТМ	Ознакомительный	12 - 13		Да		Групповая
Академический хор	Хоровое пение 2022-2023 1-4 классы (Святова ОА - Филевский б-р 3-2) (бюджет)	№1 1кл Хоровое пение 2022-2023 1-4 классы (Святова ОА - Филевский б-р 3-2) (бюджет)	Ознакомительный	6 - 11		Да		Групповая
Бальный танец	Детские массовые спортивные бальные танцы-1 2022-2023 (Бокусова ВВ - Барклая 5-5) (платно)	Детские массовые спортивные бальные танцы-2 2022-2023 (Бокусова В.В.-Барклая 5-5) (платно) №2	Ознакомительный	5 - 7		Нет		Групповая
Академический хор	Хоровое пение 2022-2023 2-4 классы (Гришина АГ - Барклая 15-3) (бюджет)	Хоровое пение 2022-2023 3-4 классы (Гришина АГ - Барклая 15-3) (бюджет)	Ознакомительный	7 - 10		Да		Групповая
Основы театрального и музыкального творчества	Театральная студия "Маскарад" 2022-2023 1-11 класс (Матвеева А.В. - Барклая 15-3) (бюджет)	Театральная студия "Маскарад" 2022-2023 1-11 класс (Матвеева А.В. - Барклая 15-3) (бюджет) №6 1-4 кл	Ознакомительный	6 - 18		Да		Групповая
Основы театрального и музыкального творчества	Театральная студия "Маскарад" 2022-2023 1-11 класс (Матвеева А.В. - Новозаводская д.19 (бюджет)	Театральная студия "Маскарад" 2022-2023 1-11 класс (Матвеева А.В. - Новозаводская д.19 (бюджет) №9 5-11 кл	Ознакомительный	6 - 18		Да		Групповая
Основы театрального и музыкального творчества	Театральная студия "Маскарад" 2022-2023 1-11 класс (Матвеева А.В. - Новозаводская д.19 (бюджет)	Театральная студия "Маскарад" 2022-2023 1-11 класс (Матвеева А.В. - Новозаводская д.19 (бюджет) №8 1-4 кл	Ознакомительный	6 - 18		Да		Групповая
Гитара	Заиграйка (гитара классическая, акустическая) Индивидуальные занятия 2022-2023 2-11 класс (Мешалкина АС - Филевский б-р 3-2) (платно)	Заиграйка (гитара классическая, акустическая) Индивидуальные занятия 2022-2023 2-11 класс (Мешалкина АС - Филевский б-р 3-2) (платно) №4.1	Ознакомительный	7 - 18		Нет		Мини-группы
Театральное и музыкальное творчество	Музыкальная карусель 3-7 лет 2022-2023 (Сапрыгина Л.Г. - Тучковская 5) (платно)	Музыкальная карусель 2022-2023 (Сапрыгина Л.Г. - Тучковская 5) (платно) 5гр	Ознакомительный	2 - 7		Нет		Групповая
Художественные и ремонтные работы с изделиями, состоящими из различных материалов	Умелые ручки 2022-2023 1-4 классы (Святова ОА - Б.Филевская 15) (бюджет)	№5 2-4кл Умелые ручки 2022-2023 1-4 классы (Святова ОА - Б.Филевская 15) (бюджет)	Ознакомительный	6 - 11		Да		Групповая
Художественные и ремонтные работы с изделиями, состоящими из различных материалов	Умелые ручки 2022-2023 1-4 классы (Святова ОА - Новозаводская 19) (бюджет)	№6 1 кл Умелые ручки 2022-2023 1-4 классы (Святова ОА - Новозаводская 19) (бюджет)	Ознакомительный	6 - 11		Да		Групповая
Гитара	Заиграйка (гитара классическая, акустическая) Индивидуальные занятия 2022-2023 2-11 класс (Мешалкина АС - Филевский б-р 3-2) (платно)	Заиграйка (гитара классическая, акустическая) Индивидуальные занятия 2022-2023 2-11 класс (Мешалкина АС - Филевский б-р 3-2) (платно) №4.2	Ознакомительный	7 - 18		Нет		Мини-группы
Гитара	Заиграйка (гитара классическая, акустическая) Индивидуальные занятия 2022-2023 2-11 класс (Мешалкина АС - Филевский б-р 3-2) (платно)	Заиграйка (гитара классическая, акустическая) Индивидуальные занятия 2022-2023 2-11 класс (Мешалкина АС - Филевский б-р 3-2) (платно) №3.2	Ознакомительный	7 - 18		Нет		Мини-группы
Основы театрального и музыкального творчества	Театральная студия "Маскарад" 2022-2023 1-11 класс (Матвеева А.В. - Филёвский б-р д.3 к.2) (бюджет)	Театральная студия "Маскарад" 2022-2023 1-11 класс (Матвеева А.В. - Филёвский б-р д.3 к.2) (бюджет) №10 1-4 кл	Ознакомительный	6 - 18		Да		Групповая
Академический хор	Хоровое пение 2022-2023 1-4 классы (Святова О.А. - Б.Филевская 15) (бюджет)	№4 1кл Хоровое пение 2022-2023 1-4 классы (Святова О.А. - Б.Филевская 15) (бюджет)	Ознакомительный	6 - 11		Да		Групповая
Художественные и ремонтные работы с изделиями, состоящими из различных материалов	Умелые ручки 2022-2023 1-4 классы (Святова ОА - Филевский б-р 3-2) (бюджет)	№1 1кл Умелые ручки 2022-2023 1-4 классы (Святова ОА - Филевский б-р 3-2) (бюджет)	Ознакомительный	6 - 11		Да		Групповая
Художественные и ремонтные работы с изделиями, состоящими из различных материалов	Умелые ручки 2022-2023 1-4 классы (Святова ОА - Б.Филевская 15) (бюджет)	№4 1кл Умелые ручки 2022-2023 1-4 классы (Святова О.А. - Б.Филевская 15) (бюджет)	Ознакомительный	6 - 11		Да		Групповая
Бальный танец	Детские массовые спортивные бальные танцы-2 2022-2023 (Бокусова ВВ - Филевский б-р 23-2) (платно)	Детские массовые спортивные бальные танцы-2 2022-2023 (Бокусова ВВ - Филевский б-р 23-2) (платно) №5	Ознакомительный	5 - 7		Нет		Групповая
Современные формы изобразительного искусства	ИЗО "Малевичи" (школьники) 2022-2023 1-4 класс (Барвинская НИ - Б.Филёвская 15) (платно)	ИЗО "Малевичи" (школьники) 2022-2023 1-4 класс (Барвинская НИ - Б.Филёвская 15) (платно) гр 2	Ознакомительный	6 - 11		Нет		Групповая
Бальный танец	Бальные танцы для кадетов 2022-2023 9а, 11а (Лыков РЮ - Б.Филевская 15) (бюджет)	Бальные танцы для кадетов 2022-2023 9а, 11а (Лыков РЮ - Б.Филевская 15) (бюджет)	Ознакомительный	14 - 18		Да		Групповая
Гитара	Заиграйка (гитара классическая, акустическая) 2022-2023 2-11 класс (Мешалкина АС - Филевский б-р 3-2) (платно)	Заиграйка (гитара классическая, акустическая) 2022-2023 2-11 класс (Мешалкина АС - Филевский б-р 3-2) (платно) №2	Ознакомительный	7 - 18		Нет		Групповая
Работа со стеклом, бисером и современной фурнитурой	Волшебные бусинки 2022-2023 (Селиванова ИА Филевский б-р. 17) (платно)	Волшебные бусинки 2022-2023 (Селиванова ИА Филевский б-р. 17) (платно)	Ознакомительный	3 - 7		Нет		Групповая
Современные формы изобразительного искусства	Волшебная кисточка-2 2022-2023 1-4 классы (Дейкина Г.А. - Филёвский б-р д.3 к.2) (платно)	Волшебная кисточка-2 2022-2023 1-4 классы (Дейкина Г.А. - Филёвский б-р д.3 к.2) (платно)	Ознакомительный	6 - 11		Нет		Групповая
Театральное и музыкальное творчество	Музыкальная карусель 3-7 лет 2022-2023 (Сапрыгина Л.Г. - Тучковская 5) (платно)	Музыкальная карусель 2022-2023 (Сапрыгина Л.Г. - Тучковская 5) (платно) 4гр	Ознакомительный	2 - 7		Нет		Групповая
Театральное и музыкальное творчество	Музыкальная карусель 2022-2023 (Сапрыгина Л.Г. - Барклая 5-5) (платно)	Музыкальная карусель 2022-2023 (Сапрыгина Л.Г. - Барклая 5-5) (платно) 1гр	Ознакомительный	3 - 6		Нет		Групповая
Театральное и музыкальное творчество	Фантазёры (музыкальный театр) 2022-2023 (Анохина О.А. - О. Дундича 5) (платно)	Фантазёры (музыкальный театр) 2022-2023 (Анохина О.А. - О. Дундича 5) (платно) №1 4-5 лет	Ознакомительный	3 - 6		Нет		Групповая
Театральное и музыкальное творчество	Фантазёры (музыкальный театр) 2022-2023 (Анохина О.А. - О. Дундича 5) (платно)	Фантазёры (музыкальный театр) 2022-2023 (Анохина О.А. - О. Дундича 5) (платно) №2	Ознакомительный	3 - 6		Нет		Групповая
Театральное и музыкальное творчество	Фантазёры (музыкальный театр) 2022-2023 (Анохина О.А. - О. Дундича 5) (платно)	Фантазёры (музыкальный театр) 2022-2023 (Анохина О.А. - О. Дундича 5) (платно) №3 5-7 лет	Ознакомительный	3 - 6		Нет		Групповая
Работа с древесными материалами, берестой, соломой и бумагой	Бумажные фантазии 2022-2023 1-4 класс (Дейкина Г.А., Васильева Н.Н. - Филёвский б-р д.3 к.2) (платно)	Бумажные фантазии 2022-2023 1-4 класс (Дейкина Г.А., Васильева Н.Н. - Филёвский б-р д.3 к.2) (платно)	Ознакомительный	6 - 11		Нет		Групповая
Основы театрального и музыкального творчества	Театральная студия "Маскарад" 2022-2023 1-11 класс (Матвеева А.В. - Б.Филевская д.15) (бюджет)	Театральная студия "Маскарад" 2022-2023 1-11 класс (Матвеева А.В. - Б.Филевская д.15) (бюджет) №2 3-4 кл	Ознакомительный	6 - 18		Да		Групповая
Основы театрального и музыкального творчества	Театральная студия "Маскарад" 2022-2023 1-11 класс (Матвеева А.В. - Б.Филевская д.15) (бюджет)	Театральная студия "Маскарад" 2022-2023 1-11 класс (Матвеева А.В. - Б.Филевская д.15) (бюджет) №1 1-2 кл	Ознакомительный	6 - 18		Да		Групповая
Основы театрального и музыкального творчества	Вокальная студия "Хит" 2022-2023 4-7 лет (Ксендзова ГА - Береговой пр-д 1Б) (платно)	Вокальная студия "Хит" 2022-2023 5-7 лет (Ксендзова ГА - Береговой пр-д 1Б) (платно)1г	Ознакомительный	3 - 7		Нет		Групповая
Гитара	Заиграйка (гитара классическая, акустическая) 2022-2023 2-11 класс (Мешалкина АС - Филевский б-р 3-2) (платно)	Заиграйка (гитара классическая, акустическая) 2022-2023 2-11 класс (Мешалкина АС - Филевский б-р 3-2) (платно) №1	Ознакомительный	7 - 18		Нет		Групповая
Театральное и музыкальное творчество	Музыкальная карусель 2022-2023 (Сапрыгина Л.Г. - Барклая 5-5) (платно)	Музыкальная карусель 2022-2023 (Сапрыгина Л.Г. - Барклая 5-5) (платно) 2гр	Ознакомительный	3 - 6		Нет		Групповая
История изобразительного искусства	Изобразительное творчество. История изобразительного искусства 2022-2023 5-6 класс (Филёвский б-р д.3 к.2) (бюджет)	Изобразительное творчество. История изобразительного искусства 2022-2023 5-6 класс (Филёвский б-р д.3 к.2) (бюджет)	Ознакомительный	10 - 12		Да		Групповая
Основы театрального и музыкального творчества	Вокальная студия "Хит" 2022-2023 4-7 лет (Ксендзова ГА - Береговой пр-д 1Б) (платно)	Вокальная студия "Хит" 2022-2023 3-4 лет (Ксендзова ГА - Береговой пр-д 1Б) (платно)2г	Ознакомительный	3 - 7		Нет		Групповая
