Вид деятельности	Название объединения	Название группы	Категория программы	Возрастная группа обучающихся (лет)	ФИО Педагога	Бесплатное ли обучение	Срок обучения	Форма занятия
ОФП	Подвижные игры 2022-2023 1-4 класс (Третьяков АП - Филёвский б-р д.3 к.2) (бюджет)	Подвижные игры 2022-2023 1-4 класс (Третьяков АП - Филёвский б-р д.3 к.2) (бюджет) №2 2 кл	Ознакомительный	6 - 11		Да		Групповая
Настольный теннис	Настольный теннис 2022-2023 1-4 класс (Ситникова ЕН - Большая Филевская 15) (бюджет)	№7 2кл Настольный теннис 2022-2023 1-4 класс (Ситникова ЕН - Большая Филевская 15) (бюджет)	Ознакомительный	6 - 11		Да		Групповая
ОФП	Сдать ГТО на отлично 2022-2023 1-4 класс (Ускова О.В. - Барклая 15-3) (бюджет)	Сдать ГТО на отлично 2022-2023 1-4 класс (Ускова О.В. - Барклая 15-3) (бюджет) 3-4 кл	Ознакомительный	6 - 11		Да		Групповая
Фитнес-аэробика	Студия "Ф" 2022-2023 5-9 класс (Сафонова ОВ - Барклая 15-3) (бюджет)	№5 6-10кл Студия "Ф" 2022-2023 5-9 класс (Сафонова ОВ - Барклая 15-3) (бюджет)	Базовый	9 - 16		Да		Групповая
Дзюдо	Дзюдо УТГ 2022-2023 6-11 класс (Кисель ИН- Барклая 15-3) (платно)	Дзюдо УТГ 2022-2023 6-11 класс (Кисель ИН- Барклая 15-3) (платно)	Ознакомительный	11 - 18		Нет		Групповая
ОФП	Игровой стретчинг 4-7 лет 2022-2023 (Журкина ОН - Тучковская 5)(платно)	Игровой стретчинг 2022-2023 (Журкина ОН - Тучковская 5)(платно) №1 6-7 л	Ознакомительный	3 - 7		Нет		Групповая
Художественная гимнастика	Художественная гимнастика 2022-2023 4-7 лет (Веричева П - Б.Филевская 15) (платно)	Художественная гимнастика 2022-2023 4-7 лет (Веричева П - Б.Филевская 15) (платно)3г	Ознакомительный	-		Нет		Групповая
Художественная гимнастика	Художественная гимнастика 2022-2023 4-7 лет (Веричева П - Б.Филевская 15) (платно)	Художественная гимнастика 2022-2023 4-7 лет (Веричева П - Б.Филевская 15) (платно)2г	Ознакомительный	-		Нет		Групповая
Настольный теннис	Настольный теннис 2022-2023 1-4 класс (Ситникова ЕН - Большая Филевская 15) (бюджет)	№8 3-4кл Настольный теннис 2022-2023 1-4 класс (Ситникова ЕН - Большая Филевская 15) (бюджет)	Ознакомительный	6 - 11		Да		Групповая
ОФП	Подвижные игры 2022-2023 1-4 класс (Третьяков АП - Филёвский б-р д.3 к.2) (бюджет)	Подвижные игры 2022-2023 1-4 класс (Третьяков АП - Филёвский б-р д.3 к.2) (бюджет) №3 3-4 кл	Ознакомительный	6 - 11		Да		Групповая
